,id,Price,RocketStatus,MissionStatus
125,125,511.9463087248322,Retired,Success
126,126,59.650769230769235,Retired,Success
127,127,59.650769230769235,Retired,Success
128,128,,Retired,Partial Failure
129,129,59.650769230769235,Retired,Failure
130,130,5000.0,Retired,Failure
131,131,511.9463087248322,Retired,Failure
132,132,59.650769230769235,Retired,Failure
133,133,59.650769230769235,Retired,Success
134,134,59.650769230769235,Retired,Success
135,135,,Retired,Failure
136,136,,Retired,Failure
137,137,511.9463087248322,Retired,Success
138,138,5000.0,Retired,Failure
139,139,59.650769230769235,Retired,Success
140,140,5000.0,Retired,Failure
141,141,,Retired,Partial Failure
142,142,59.650769230769235,Retired,Failure
143,143,59.650769230769235,Retired,Failure
144,144,,Retired,Partial Failure
145,145,59.650769230769235,Retired,Success
146,146,511.9463087248322,Retired,Success
147,147,59.650769230769235,Retired,Partial Failure
148,148,59.650769230769235,Retired,Success
149,149,59.650769230769235,Retired,Success
150,150,,Retired,Success
151,151,5000.0,Retired,Success
152,152,5000.0,Retired,Success
153,153,,Retired,Success
154,154,59.650769230769235,Retired,Success
155,155,,Retired,Success
156,156,5000.0,Retired,Success
157,157,5000.0,Retired,Success
158,158,511.9463087248322,Retired,Failure
159,159,59.650769230769235,Retired,Success
160,160,,Retired,Success
161,161,59.650769230769235,Retired,Success
162,162,,Retired,Failure
163,163,59.650769230769235,Retired,Failure
164,164,59.650769230769235,Retired,Success
165,165,511.9463087248322,Retired,Success
166,166,59.650769230769235,Retired,Failure
167,167,5000.0,Retired,Success
168,168,59.650769230769235,Retired,Success
169,169,5000.0,Retired,Failure
170,170,59.650769230769235,Retired,Success
171,171,,Retired,Success
172,172,59.650769230769235,Retired,Success
173,173,59.650769230769235,Retired,Success
174,174,59.650769230769235,Retired,Success
175,175,59.650769230769235,Retired,Success
176,176,5000.0,Retired,Success
177,177,59.650769230769235,Retired,Success
178,178,,Retired,Success
179,179,59.650769230769235,Retired,Success
180,180,,Retired,Failure
181,181,59.650769230769235,Retired,Success
182,182,5000.0,Retired,Success
183,183,59.650769230769235,Retired,Success
184,184,,Retired,Success
185,185,5000.0,Retired,Success
186,186,5000.0,Retired,Success
187,187,5000.0,Retired,Success
188,188,59.650769230769235,Retired,Success
189,189,5000.0,Retired,Failure
190,190,,Retired,Success
191,191,59.650769230769235,Retired,Success
192,192,5000.0,Retired,Failure
193,193,59.650769230769235,Retired,Success
194,194,5000.0,Retired,Failure
195,195,59.650769230769235,Retired,Success
196,196,59.650769230769235,Retired,Success
197,197,5000.0,Retired,Success
198,198,59.650769230769235,Retired,Success
199,199,59.650769230769235,Retired,Success
200,200,59.650769230769235,Retired,Success
201,201,511.9463087248322,Retired,Success
202,202,59.650769230769235,Retired,Success
203,203,5000.0,Retired,Success
204,204,,Retired,Success
205,205,5000.0,Retired,Success
206,206,5000.0,Retired,Failure
207,207,5000.0,Retired,Failure
208,208,59.650769230769235,Retired,Success
209,209,59.650769230769235,Retired,Success
210,210,59.650769230769235,Retired,Success
211,211,5000.0,Retired,Success
212,212,5000.0,Retired,Failure
213,213,59.650769230769235,Retired,Success
214,214,,Retired,Success
215,215,59.650769230769235,Retired,Success
216,216,59.650769230769235,Retired,Success
217,217,59.650769230769235,Retired,Success
218,218,59.650769230769235,Retired,Success
219,219,59.650769230769235,Retired,Success
220,220,511.9463087248322,Retired,Success
221,221,,Retired,Failure
222,222,59.650769230769235,Retired,Success
223,223,5000.0,Retired,Success
224,224,5000.0,Retired,Failure
225,225,5000.0,Retired,Failure
226,226,59.650769230769235,Retired,Success
227,227,5000.0,Retired,Success
228,228,5000.0,Retired,Success
229,229,59.650769230769235,Retired,Failure
230,230,5000.0,Retired,Failure
231,231,5000.0,Retired,Success
232,232,5000.0,Retired,Success
233,233,59.650769230769235,Retired,Failure
234,234,5000.0,Retired,Success
235,235,,Retired,Success
236,236,511.9463087248322,Retired,Success
237,237,5000.0,Retired,Success
238,238,5000.0,Retired,Success
239,239,5000.0,Retired,Failure
240,240,,Retired,Failure
241,241,5000.0,Retired,Success
242,242,59.650769230769235,Retired,Success
243,243,5000.0,Retired,Success
244,244,59.650769230769235,Retired,Success
245,245,5000.0,Retired,Failure
246,246,,Retired,Success
247,247,,Retired,Success
248,248,5000.0,Retired,Success
249,249,5000.0,Retired,Failure
250,250,,Retired,Success
