,id,Company,Rocket,Mission,Price
2909,2909,Boeing,Delta II 7925,Mars Pathfinder,177.28571428571428
2910,2910,NASA,Space Shuttle Columbia,STS-80,450.0
2911,2911,VKS RF,Tsyklon-2,Cosmos 2335,36.57038461538461
2912,2912,ILS,Atlas IIA,Inmarsat 3-F3,101.53846153846153
2913,2913,VKS RF,Cosmos-3M (11K65M),Cosmos 2336,36.57038461538461
2914,2914,Lockheed,Titan IV(404)A,NROL-2 (KH-11 Kennen),35.0
2915,2915,NASA,Space Shuttle Atlantis,STS-81,450.0
2916,2916,Boeing,Delta II 7925,GPS IIR-1,177.28571428571428
2917,2917,Arianespace,Ariane 44L,"GE-2, Nahuel 1A",140.87596899224806
2918,2918,NASA,Space Shuttle Discovery,STS-82,450.0
2919,2919,ISAS,Mu-V / M-24,Muses B,
2920,2920,VKS RF,Tsyklon-3,Cosmos 2337 to 2339 & Gonets 4 to 6,36.57038461538461
2921,2921,ILS,Atlas IIAS,JCSAT-4,101.53846153846153
2922,2922,Lockheed,Titan IV(402)B,DSP,35.0
2923,2923,Arianespace,Ariane 44P,Intelsat 801,140.87596899224806
2924,2924,MITT,Start-1,Zeya,
2925,2925,ILS,Atlas IIA,Tempo 2,101.53846153846153
2926,2926,Lockheed,Titan II(23)G,USA-131,35.0
2927,2927,NASA,Space Shuttle Columbia,STS-83,450.0
2928,2928,Arianespace,Ariane 44LP,"Thaicom 3, BSAT 1a",140.87596899224806
2929,2929,VKS RF,Cosmos-3M (11K65M),Cosmos 2341,36.57038461538461
2930,2930,Northrop,Pegasus XL,MiniSat & Celestis space burial,40.0
2931,2931,Lockheed,Atlas I,GOES-K,35.0
2932,2932,Boeing,Delta II 7920-10C,MS-1,177.28571428571428
2933,2933,CASC,Long March 3A,ChinaSat 6,69.7
2934,2934,VKS RF,Molniya-M /Block 2BL,Cosmos 2342,36.57038461538461
2935,2935,NASA,Space Shuttle Atlantis,STS-84,450.0
2936,2936,VKS RF,Zenit-2,Tselina-2 nâ Â­19,36.57038461538461
2937,2937,Boeing,Delta II 7925,Telenor Thor II,177.28571428571428
