bet_id;Account_no;Bet_date;Class_ id;Category_id;Source;bet_count;bet_amt;win_amt;Product
969;01152SJ   ;17/10/2012;22528_SALE;22528;I;0;0;1743,6792;Casino
970;01152SJ   ;18/10/2012;22527_SALE;22527;I;0;0;1120,6735;Poker
971;01152SJ   ;18/10/2012;22528_SALE;22528;I;0;0;961,2875;Casino
972;01152SJ   ;19/10/2012;22527_SALE;22527;I;0;0;171,9011;Poker
973;01152SJ   ;20/10/2012;22528_SALE;22528;I;0;0;930,9276;Casino
974;01152SJ   ;25/10/2012;22527_SALE;22527;I;0;0;1188,54;Poker
975;01152SJ   ;25/10/2012;22528_SALE;22528;I;0;0;3502,2833;Casino
976;01152SJ   ;27/10/2012;22527_SALE;22527;I;0;0;623,6014;Poker
977;01152SJ   ;30/10/2012;22527_SALE;22527;I;0;0;215,4744;Poker
978;01152SJ   ;30/10/2012;22528_SALE;22528;I;0;0;125,4347;Casino
979;01152SJ   ;04/11/2012;22527_SALE;22527;I;0;0;186,544;Poker
980;01152SJ   ;04/11/2012;22528_SALE;22528;I;0;0;621,8132;Casino
981;01152SJ   ;05/11/2012;22527_SALE;22527;I;0;0;1060,8424;Poker
982;01152SJ   ;28/11/2012;22527_SALE;22527;I;0;0;624,1808;Poker
983;01152SJ   ;28/11/2012;22528_SALE;22528;I;0;0;561,7627;Casino
984;01152SJ   ;30/11/2012;22528_SALE;22528;I;0;0;1562,0119;Casino
985;01152SJ   ;01/12/2012;22527_SALE;22527;I;0;0;5451,3013;Poker
986;01152SJ   ;01/12/2012;22528_SALE;22528;I;0;0;3370,3864;Casino
987;01152SJ   ;02/12/2012;22528_SALE;22528;I;0;0;1436,9968;Casino
988;01152SJ   ;03/12/2012;22528_SALE;22528;I;0;0;3622,2833;Casino
989;01152SJ   ;03/12/2012;22527_SALE;22527;I;0;0;3622,2833;Poker
990;01152SJ   ;04/12/2012;22527_SALE;22527;I;0;0;905,5709;Poker
991;01152SJ   ;04/12/2012;22528_SALE;22528;I;0;0;103,0477;Casino
992;01152SJ   ;06/12/2012;22527_SALE;22527;I;0;0;756,3808;Poker
993;01152SJ   ;06/12/2012;22528_SALE;22528;I;0;0;400,5465;Casino
994;01152SJ   ;07/12/2012;22527_SALE;22527;I;0;0;1181,1464;Poker
995;01152SJ   ;07/12/2012;22528_SALE;22528;I;0;0;870,0242;Casino
996;01152SJ   ;08/12/2012;22528_SALE;22528;I;0;0;1309,9826;Casino
997;01152SJ   ;09/12/2012;22527_SALE;22527;I;0;0;1870,4408;Poker
998;01152SJ   ;09/12/2012;22528_SALE;22528;I;0;0;1644,7409;Casino
999;01152SJ   ;10/12/2012;22527_SALE;22527;I;0;0;1355,7315;Poker
1000;01152SJ   ;11/12/2012;22528_SALE;22528;I;0;0;313,2207;Casino
1001;01152SJ   ;12/12/2012;22527_SALE;22527;I;0;0;1059,388;Poker
1002;01152SJ   ;17/12/2012;22528_SALE;22528;I;0;0;135,7116;Casino
1003;01152SJ   ;18/12/2012;22527_SALE;22527;I;0;0;279,4609;Poker
1004;01152SJ   ;18/12/2012;22528_SALE;22528;I;0;0;137,5665;Casino
1005;01152SJ   ;26/12/2012;22527_SALE;22527;I;0;0;456,6832;Poker
